Name,Type,MACs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
Conv_216,Conv,944128000,0.96%,3998720,0.22%,590080,0.83%,1x256x40x40,1x256x40x40
Sigmoid_217,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_218,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Conv_220,Conv,655872000,0.67%,3687680,0.20%,409920,0.58%,1x1280x40x40,1x320x40x40
Sigmoid_221,Sigmoid,16384000,0.02%,2048000,0.11%,0,0.00%,1x320x40x40,1x320x40x40
Mul_222,Mul,512000,0.00%,2048000,0.11%,0,0.00%,1x320x40x40,1x320x40x40
Conv_223,Conv,82176000,0.08%,1229440,0.07%,51360,0.07%,1x320x40x40,1x160x40x40
Sigmoid_224,Sigmoid,8192000,0.01%,1024000,0.06%,0,0.00%,1x160x40x40,1x160x40x40
Mul_225,Mul,256000,0.00%,1024000,0.06%,0,0.00%,1x160x40x40,1x160x40x40
Resize_227,Resize,0,0.00%,4096000,0.23%,0,0.00%,1x160x40x40,1x160x80x80
Conv_232,Conv,262963200,0.27%,3441152,0.19%,41088,0.06%,1x320x80x80,1x128x80x80
Conv_235,Conv,262963200,0.27%,3441152,0.19%,41088,0.06%,1x320x80x80,1x128x80x80
Sigmoid_233,Sigmoid,26214400,0.03%,3276800,0.18%,0,0.00%,1x128x80x80,1x128x80x80
Sigmoid_236,Sigmoid,26214400,0.03%,3276800,0.18%,0,0.00%,1x128x80x80,1x128x80x80
Mul_234,Mul,819200,0.00%,3276800,0.18%,0,0.00%,1x128x80x80,1x128x80x80
Mul_237,Mul,819200,0.00%,3276800,0.18%,0,0.00%,1x128x80x80,1x128x80x80
Conv_238,Conv,944537600,0.96%,3867136,0.21%,147584,0.21%,1x128x80x80,1x128x80x80
Sigmoid_239,Sigmoid,26214400,0.03%,3276800,0.18%,0,0.00%,1x128x80x80,1x128x80x80
Mul_240,Mul,819200,0.00%,3276800,0.18%,0,0.00%,1x128x80x80,1x128x80x80
Conv_241,Conv,944537600,0.96%,3867136,0.21%,147584,0.21%,1x128x80x80,1x128x80x80
Sigmoid_242,Sigmoid,26214400,0.03%,3276800,0.18%,0,0.00%,1x128x80x80,1x128x80x80
Mul_243,Mul,819200,0.00%,3276800,0.18%,0,0.00%,1x128x80x80,1x128x80x80
Conv_244,Conv,944537600,0.96%,3867136,0.21%,147584,0.21%,1x128x80x80,1x128x80x80
Sigmoid_245,Sigmoid,26214400,0.03%,3276800,0.18%,0,0.00%,1x128x80x80,1x128x80x80
Mul_246,Mul,819200,0.00%,3276800,0.18%,0,0.00%,1x128x80x80,1x128x80x80
Conv_247,Conv,944537600,0.96%,3867136,0.21%,147584,0.21%,1x128x80x80,1x128x80x80
Sigmoid_248,Sigmoid,26214400,0.03%,3276800,0.18%,0,0.00%,1x128x80x80,1x128x80x80
Mul_249,Mul,819200,0.00%,3276800,0.18%,0,0.00%,1x128x80x80,1x128x80x80
Conv_250,Conv,944537600,0.96%,3867136,0.21%,147584,0.21%,1x128x80x80,1x128x80x80
Sigmoid_251,Sigmoid,26214400,0.03%,3276800,0.18%,0,0.00%,1x128x80x80,1x128x80x80
Mul_252,Mul,819200,0.00%,3276800,0.18%,0,0.00%,1x128x80x80,1x128x80x80
Conv_253,Conv,944537600,0.96%,3867136,0.21%,147584,0.21%,1x128x80x80,1x128x80x80
Sigmoid_254,Sigmoid,26214400,0.03%,3276800,0.18%,0,0.00%,1x128x80x80,1x128x80x80
Mul_255,Mul,819200,0.00%,3276800,0.18%,0,0.00%,1x128x80x80,1x128x80x80
Conv_257,Conv,656384000,0.67%,4506240,0.25%,102560,0.14%,1x640x80x80,1x160x80x80
Sigmoid_258,Sigmoid,32768000,0.03%,4096000,0.23%,0,0.00%,1x160x80x80,1x160x80x80
Mul_259,Mul,1024000,0.00%,4096000,0.23%,0,0.00%,1x160x80x80,1x160x80x80
MaxPool_260,MaxPool,1024000,0.00%,1024000,0.06%,0,0.00%,1x160x80x80,1x160x40x40
Conv_264,Conv,164864000,0.17%,4199040,0.23%,25760,0.04%,1x160x80x80,1x160x80x80
Conv_338,Conv,2951168000,3.01%,10036480,0.55%,461120,0.65%,1x160x80x80,1x320x80x80
Conv_261,Conv,41216000,0.04%,1127040,0.06%,25760,0.04%,1x160x40x40,1x160x40x40
Sigmoid_265,Sigmoid,32768000,0.03%,4096000,0.23%,0,0.00%,1x160x80x80,1x160x80x80
Sigmoid_339,Sigmoid,65536000,0.07%,8192000,0.45%,0,0.00%,1x320x80x80,1x320x80x80
Sigmoid_262,Sigmoid,8192000,0.01%,1024000,0.06%,0,0.00%,1x160x40x40,1x160x40x40
Mul_266,Mul,1024000,0.00%,4096000,0.23%,0,0.00%,1x160x80x80,1x160x80x80
Mul_340,Mul,2048000,0.00%,8192000,0.45%,0,0.00%,1x320x80x80,1x320x80x80
Mul_263,Mul,256000,0.00%,1024000,0.06%,0,0.00%,1x160x40x40,1x160x40x40
Conv_267,Conv,368896000,0.38%,1946240,0.11%,230560,0.33%,1x160x80x80,1x160x40x40
Conv_347,Conv,55468800,0.06%,725868,0.04%,8667,0.01%,1x320x80x80,1x27x80x80
Sigmoid_268,Sigmoid,8192000,0.01%,1024000,0.06%,0,0.00%,1x160x40x40,1x160x40x40
Mul_269,Mul,256000,0.00%,1024000,0.06%,0,0.00%,1x160x40x40,1x160x40x40
Transpose_349,Transpose,0,0.00%,691200,0.04%,0,0.00%,1x3x9x80x80,1x3x80x80x9
Sigmoid_350,Sigmoid,5529600,0.01%,691200,0.04%,0,0.00%,1x3x80x80x9,1x3x80x80x9
Conv_271,Conv,262553600,0.27%,2294784,0.13%,164096,0.23%,1x640x40x40,1x256x40x40
Conv_274,Conv,262553600,0.27%,2294784,0.13%,164096,0.23%,1x640x40x40,1x256x40x40
Split_351,Split,0,0.00%,691200,0.04%,0,0.00%,1x3x80x80x9,1x3x80x80x2
Sigmoid_272,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Sigmoid_275,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_353,Mul,38400,0.00%,153600,0.01%,0,0.00%,1x3x80x80x2,1x3x80x80x2
Pow_357,Pow,1228800,0.00%,153600,0.01%,0,0.00%,1x3x80x80x2,1x3x80x80x2
Mul_273,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_276,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Add_355,Add,38400,0.00%,204800,0.01%,12800,0.02%,1x3x80x80x2,1x3x80x80x2
Mul_359,Mul,38400,0.00%,153624,0.01%,6,0.00%,1x3x80x80x2,1x3x80x80x2
Conv_277,Conv,944128000,0.96%,3998720,0.22%,590080,0.83%,1x256x40x40,1x256x40x40
Sigmoid_278,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_279,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Conv_280,Conv,944128000,0.96%,3998720,0.22%,590080,0.83%,1x256x40x40,1x256x40x40
Sigmoid_281,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_282,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Conv_283,Conv,944128000,0.96%,3998720,0.22%,590080,0.83%,1x256x40x40,1x256x40x40
Sigmoid_284,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_285,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Conv_286,Conv,944128000,0.96%,3998720,0.22%,590080,0.83%,1x256x40x40,1x256x40x40
Sigmoid_287,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_288,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Conv_289,Conv,944128000,0.96%,3998720,0.22%,590080,0.83%,1x256x40x40,1x256x40x40
Sigmoid_290,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_291,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Conv_292,Conv,944128000,0.96%,3998720,0.22%,590080,0.83%,1x256x40x40,1x256x40x40
Sigmoid_293,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
